index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
1172,OS307KR_L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1173,OS307KR_XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1174,OS307KR_2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1175,OS307KR_3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1176,OS311_S,Mix,Kurta Set,0.4,599,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1177,OS311_M,Mix,Kurta Set,0.4,599,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1178,OS311_L,Mix,Kurta Set,0.4,599,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1179,OS311_XL,Mix,Kurta Set,0.4,599,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1180,OS311_2XL,Mix,Kurta Set,0.4,599,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1181,OS311_3XL,Mix,Kurta Set,0.4,599,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1182,OS311KR_S,Mix,Kurta,0.3,485,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1183,OS311KR_M,Mix,Kurta,0.3,485,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1184,OS311KR_L,Mix,Kurta,0.3,485,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1185,OS311KR_XL,Mix,Kurta,0.3,485,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1186,OS311KR_2XL,Mix,Kurta,0.3,485,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1187,OS311KR_3XL,Mix,Kurta,0.3,485,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1188,OS303_S,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1189,OS303_M,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1190,OS303_L,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1191,OS303_XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1192,OS303_2XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1193,OS303_3XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1194,OS282_S,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1195,OS282_M,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1196,OS282_L,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1197,OS282_XL,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1198,OS282_2XL,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1199,OS282_3XL,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1200,OS282KR_S,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1201,OS282KR_M,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1202,OS282KR_L,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1203,OS282KR_XL,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1204,OS282KR_2XL,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1205,OS282KR_3XL,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1206,OS290_S,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1207,OS290_M,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1208,OS290_L,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1209,OS290_XL,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1210,OS290_2XL,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1211,OS290_3XL,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1212,OS290KR_S,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
